,item,freq,canon_segm,prs,PREF_1_FamSize,PREF_1_Freq,PREF_1_Length,PREF_1_PFMF,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,n_morphemes
35682,séjournait,1.22,<sé<(jour)>[VB]>,"(1, 1, 1)",1,1.22,2,0,6,2880.74,4,66.6666666666666,1600,25208.9699999999,2,47.9375,3
36072,soulignaient,4.49999999999999,<sous<(ligne)>[VB]>,"(1, 1, 1)",15,98.6,4,20,7,108.109999999999,5,42.8571428571428,1600,25208.9699999999,2,29.5625,3
36114,soutirées,1.88,<sous<(tir)>[VB]>,"(1, 1, 1)",15,98.6,4,40,9,507.719999999999,3,66.6666666666666,1600,25208.9699999999,2,41.0625,3
36234,subodorais,0.01,<sub<(odeur)>[VB]>,"(1, 1, 1)",5,3.90999999999999,3,60,6,51.92,5,83.3333333333333,1600,25208.9699999999,2,86.3125,3
36238,subordonné,0.909999999999999,<sub<(ordre)>onn[VB]>,"(1, 1, 1)",5,3.90999999999999,3,20,8,279.32,5,62.5,4,2.23,6,25,3
36314,superposable,0,<super<(poser)>able>,"(1, 1, 1)",3,1.7,5,66.6666666666666,24,427.529999999999,5,83.3333333333333,313,1042.69,4,95.5271565495207,3
36320,superviser,1.03,<super<(voir)>[VB]>,"(1, 1, 1)",3,1.7,5,0,28,3534.49,4,75,1600,25208.9699999999,2,51.125,3
36372,suppuraient,0,<su<(pus)>[VB]>,"(1, 1, 1)",1,0,2,0,2,2.85,3,50,1600,25208.9699999999,2,91.125,3
36378,surajouter,0,<sur<(ajout)>er>,"(1, 1, 1)",55,248.22,3,87.2727272727272,4,45.6999999999999,5,75,37,316.04,2,97.2972972972973,3
36380,surchargé,1.7,<sur<(charge)>[VB]>,"(1, 1, 1)",55,248.22,3,23.6363636363636,12,183.5,6,75,1600,25208.9699999999,2,43.0625,3
36384,surchauffé,0.329999999999999,<sur<(chaud)>[VB]>,"(1, 1, 1)",55,248.22,3,60,14,223.56,5,78.5714285714285,1600,25208.9699999999,2,65.6875,3
36387,surclasserait,0.02,<sur<(classe)>[VB]>,"(1, 1, 1)",55,248.22,3,83.6363636363636,8,95.76,6,50,1600,25208.9699999999,2,83.4375,3
