,item,freq,canon_segm,prs,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,SUFF_2_FamSize,SUFF_2_Freq,SUFF_2_Length,SUFF_2_PFMF,n_morphemes
10941,verroterie,0.05,(verre)>ot>>erie>,"(0, 1, 2)",3,177.049999999999,5,66.6666666666666,32,58.0999999999999,2,78.125,109,267.479999999999,4,84.4036697247706,3
10944,verrouillage,1.23,(verrou)>iller>>age>,"(0, 1, 2)",3,15.79,6,66.6666666666666,6,3.80999999999999,5,16.6666666666666,201,707.48,3,40.7960199004975,3
10984,vestimentaires,0.9,(vêtir)>ment>>aire>,"(0, 1, 2)",10,84.3,5,70,919,5042.80999999999,4,44.1784548422198,179,853.76,4,62.0111731843575,3
11045,vieillissement,1.04,(vieux)>[VB]>>ment>,"(0, 1, 2)",7,501.05,5,71.4285714285714,1600,25208.9699999999,2,50.9375,919,5042.80999999999,4,40.5875952121871,3
11141,virtuosité,0.2,(virtu)>eux>>ité>,"(0, 1, 2)",2,0.899999999999999,5,50,271,1027.7,3,70.8487084870848,334,1491.88,3,78.7425149700598,3
11154,visibilité,1.27,(voir)>able>>ité>,"(0, 1, 2)",28,3534.49,4,71.4285714285714,313,1042.69,4,40.5750798722044,334,1491.88,3,41.0179640718562,3
11170,vitalité,1.08,(vivre)>al>>ité>,"(0, 1, 2)",20,823.909999999999,5,35,200,1125.04,2,48.5,334,1491.88,3,44.9101796407185,3
11186,vivacité,0.74,(vivre)>ace>>ité>,"(0, 1, 2)",20,823.909999999999,5,45,15,28.65,3,46.6666666666666,334,1491.88,3,56.2874251497005,3
11199,vivifiantes,0.11,(vivre)>ifier>>ant/ent>,"(0, 1, 2)",20,823.909999999999,5,70,27,49.0699999999999,5,74.074074074074,522,3302.43999999999,7,78.544061302682,3
11220,vocalises,0.05,(vouer)>al>>is[VB]>,"(0, 1, 2)",8,22.72,5,62.5,200,1125.04,2,84,126,424.71,5,65.079365079365,3
11223,vociférante,0,(vouer)>ifère>>ant/ent>,"(0, 1, 2)",8,22.72,5,87.5,4,6.34,5,75,522,3302.43999999999,7,93.2950191570881,3
11224,vociférations,0.02,(vouer)>ifère>>ion>,"(0, 1, 2)",8,22.72,5,75,4,6.34,5,50,766,3498.54,3,93.864229765013,3
11285,voracité,0.07,(vore)>ace>>ité>,"(0, 1, 2)",7,19.97,4,71.4285714285714,15,28.65,3,80,334,1491.88,3,85.3293413173652,3
11344,vulnérabilité,0.77,(vulnérer)>able>>ité>,"(0, 1, 2)",3,9.44,8,66.6666666666666,313,1042.69,4,53.035143769968,334,1491.88,3,54.7904191616766,3
11483,abolitionniste,0.1,(abol)>ion>>iste>,"(0, 1, 2)",2,0.55,4,50,766,3498.54,3,89.1644908616187,119,322.749999999999,4,72.2689075630252,3
11488,abondamment,0.3,(abonder)>ant/ent>>ment>,"(0, 1, 2)",5,4.59,7,40,522,3302.43999999999,7,66.8582375478927,919,5042.80999999999,4,64.5266594124047,3
11564,abusivement,0.16,(abus)>if>>ment>,"(0, 1, 2)",4,22.22,4,75,168,409.409999999999,2,70.8333333333333,919,5042.80999999999,4,72.7965179542981,3
11633,accidentellement,3.39,(accident)>el>>ment>,"(0, 1, 2)",4,114.449999999999,8,25,153,1103.39999999999,2,32.0261437908496,919,5042.80999999999,4,19.0424374319912,3
11882,actionnaires,3.71999999999999,(acte)>ion>>aire>,"(0, 1, 2)",23,301.26,4,43.4782608695652,766,3498.54,3,27.5456919060052,179,853.76,4,27.9329608938547,3
11883,actionne,1.46,(acte)>ion>>[VB]>,"(0, 1, 2)",23,301.26,4,60.8695652173913,766,3498.54,3,49.6083550913838,1600,25208.9699999999,2,45.3125,3
11888,activait,8.25,(acte)>if>>[VB]>,"(0, 1, 2)",23,301.26,4,30.4347826086956,168,409.409999999999,2,8.33333333333333,1600,25208.9699999999,2,20.375,3
11889,activation,2.21,(acte)>if>>ion>,"(0, 1, 2)",23,301.26,4,52.1739130434782,168,409.409999999999,2,30.3571428571428,766,3498.54,3,39.0339425587467,3
11892,activement,1.18,(acte)>if>>ment>,"(0, 1, 2)",23,301.26,4,65.2173913043478,168,409.409999999999,2,43.4523809523809,919,5042.80999999999,4,37.3231773667029,3
11897,activé,16.12,(acte)>if>>ité>,"(0, 1, 2)",23,301.26,4,17.391304347826,168,409.409999999999,2,1.19047619047619,334,1491.88,3,5.08982035928143,3
11899,activités,10.42,(acte)>if>>ités>,"(0, 1, 2)",23,301.26,4,26.0869565217391,168,409.409999999999,2,4.76190476190476,60,83.33,4,3.33333333333333,3
11944,admirablement,0.71,(admirer)>able>>ment>,"(0, 1, 2)",6,47.43,7,66.6666666666666,313,1042.69,4,54.6325878594249,919,5042.80999999999,4,47.986942328618,3
12106,affectionnait,0.29,(affecter)>ion>>[VB]>,"(0, 1, 2)",7,41.44,8,85.7142857142857,766,3498.54,3,81.4621409921671,1600,25208.9699999999,2,66.4375,3
12112,affectueusement,1.11,(affecter)>eux>>ment>,"(0, 1, 2)",7,41.44,8,57.1428571428571,271,1027.7,3,39.4833948339483,919,5042.80999999999,4,39.7170837867247,3
12216,agencement,0.19,(agir)>nce>>ment>,"(0, 1, 2)",9,263.19,4,88.8888888888888,213,1491.29,3,84.037558685446,919,5042.80999999999,4,70.8378672470076,3
12245,agilité,1,(agir)>il>>ité>,"(0, 1, 2)",9,263.19,4,77.7777777777777,14,12.29,2,42.8571428571428,334,1491.88,3,47.005988023952,3
12296,agréablement,0.63,(agréer)>able>>ment>,"(0, 1, 2)",8,57.69,6,50,313,1042.69,4,56.8690095846645,919,5042.80999999999,4,49.6191512513601,3
12303,agrémentaient,0.26,(agréer)>ment>>[VB]>,"(0, 1, 2)",8,57.69,6,75,919,5042.80999999999,4,67.2470076169749,1600,25208.9699999999,2,67.1875,3
12319,agressivement,0.11,(agresser)>if>>ment>,"(0, 1, 2)",6,45.0999999999999,8,83.3333333333333,168,409.409999999999,2,76.7857142857142,919,5042.80999999999,4,78.4548422198041,3
12320,agressivité,2.54,(agresser)>if>>ité>,"(0, 1, 2)",6,45.0999999999999,8,66.6666666666666,168,409.409999999999,2,26.1904761904761,334,1491.88,3,27.2455089820359,3
12390,aiguillonnaient,0.1,(aiguille)>on>>[VB]>,"(0, 1, 2)",4,15.8899999999999,8,75,109,331.19,2,80.7339449541284,1600,25208.9699999999,2,75.25,3
12403,aimablement,0.52,(aimer)>able>>ment>,"(0, 1, 2)",7,1744.53,5,71.4285714285714,313,1042.69,4,60.3833865814696,919,5042.80999999999,4,54.6245919477693,3
12439,aisément,2.51,(aise)>[VB]>>ment>,"(0, 1, 2)",6,48.63,4,50,1600,25208.9699999999,2,36.875,919,5042.80999999999,4,22.5244831338411,3
