,item,freq,canon_segm,prs,PREF_1_FamSize,PREF_1_Freq,PREF_1_Length,PREF_1_PFMF,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,SUFF_2_FamSize,SUFF_2_Freq,SUFF_2_Length,SUFF_2_PFMF,n_morphemes
27668,invisibilité,0.45,<in<(voir)>able>>ité>,"(1, 1, 2)",427,1478.96,2,65.807962529274,28,3534.49,4,89.2857142857142,313,1042.69,4,65.1757188498402,334,1491.88,3,67.3652694610778,4
27695,involontairement,0.57,<in<(volonté)>aire>>ment>,"(1, 1, 2)",427,1478.96,2,58.5480093676814,5,77.16,7,80,179,853.76,4,69.2737430167597,919,5042.80999999999,4,52.3394994559303,4
27725,irrecevabilité,0.02,<in<(recevoir)>able>>ité>,"(1, 1, 2)",427,1478.96,2,90.8665105386416,8,237.339999999999,8,87.5,313,1042.69,4,89.1373801916933,334,1491.88,3,88.9221556886227,4
27740,irrégulièrement,0.03,<in<(règle)>ier>>ment>,"(1, 1, 2)",427,1478.96,2,89.4613583138173,14,215.01,5,92.8571428571428,181,847.1,3,89.5027624309392,919,5042.80999999999,4,86.7247007616974,4
27744,irrémédiablement,1.12,<in<(remède)>able>>ment>,"(1, 1, 2)",427,1478.96,2,42.1545667447306,4,21.19,6,50,313,1042.69,4,42.811501597444,919,5042.80999999999,4,39.1730141458106,4
27751,irrésistiblement,0.14,<in<(résister)>able>>ment>,"(1, 1, 2)",427,1478.96,2,81.4988290398126,5,59.0199999999999,8,80,313,1042.69,4,80.1916932907348,919,5042.80999999999,4,74.537540805223,4
32302,précautionneusement,0.01,<pré<(caution)>eux>>ment>,"(1, 1, 2)",49,209.31,3,81.6326530612244,5,21.28,7,80,271,1027.7,3,88.9298892988929,919,5042.80999999999,4,90.0979325353645,4
32311,précédemment,11.48,<pré<(céder)>ant/ent>>ment>,"(1, 1, 2)",49,209.31,3,8.16326530612245,12,66.31,5,16.6666666666666,522,3302.43999999999,7,9.19540229885057,919,5042.80999999999,4,7.29053318824809,4
33586,réactionnaire,0.59,<re<(acte)>ion>>aire>,"(1, 1, 2)",434,6595.02,2,64.0552995391705,23,301.26,4,78.2608695652173,766,3498.54,3,69.5822454308094,179,853.76,4,68.7150837988826,4
33587,réactiva,0.49,<re<(acte)>if>>[VB]>,"(1, 1, 2)",434,6595.02,2,66.8202764976958,23,301.26,4,82.6086956521739,168,409.409999999999,2,57.1428571428571,1600,25208.9699999999,2,61.625,4
33622,rebondissant,0.04,<re<(bond)>[VB]>>ant/ent>,"(1, 1, 2)",434,6595.02,2,85.0230414746543,5,13.9599999999999,4,80,1600,25208.9699999999,2,79.8125,522,3302.43999999999,7,85.4406130268199,4
34243,remarquablement,0.99,<re<(marque)>able>>ment>,"(1, 1, 2)",434,6595.02,2,55.5299539170506,8,189.79,6,62.5,313,1042.69,4,46.9648562300319,919,5042.80999999999,4,42.2198041349292,4
34998,rétrospectivement,0.36,<rétro<(spectacle)>if>>ment1>,"(1, 1, 2)",5,1.79999999999999,5,40,4,59.9299999999999,9,75,168,409.409999999999,2,63.095238095238,2,2.38,5,50,4
